event_date,primary,dependent,event_type,beta,r2,revenue_pct,expected_a,expected_b,actual_return,score_a,score_b,direction,is_liquid,is_htb,skipped,skip_reason,score_h1,score_h2,score_h3,score_h4,score_h7,score_h14,score_h21,score_h35,score_h49,score_h70
2022-01-28,CVX,DXC,Earnings,0.1543416303071081,0.004948110376623571,0.31,-0.00565887745207735,-0.0017542520101439785,0.004588144615564659,-1.8107870605821954,-3.6154421309103086,long,True,False,False,,-1.1626394858105573,-3.6154421309103086,-9.659148981604387,-9.378796260466936,-16.657792947010424,-22.102607474911792,-16.59743681952952,-101.04508235509351,-132.0367162773317,-153.33815007634357
2022-01-28,CVX,MUR,Earnings,1.654712303219699,0.46241998419939834,0.19,-0.06066940023720671,-0.011527186045069275,0.003240679983615522,-1.053415395091183,-1.2811336583746487,long,True,False,False,,-1.1961931841386197,-1.2811336583746487,-1.358048900732373,-0.8449664899141398,-1.7684948280488764,-1.9549776444359124,-2.4538246477157832,-3.5889784182182605,-1.947053260701012,0.4345595810197175
2022-01-28,CVX,RIG,Earnings,1.9051424552177225,0.09365864737054563,0.149,-0.06985132696457168,-0.010407847717721179,0.003464439216730771,-1.049597328601759,-1.3328679771930136,long,True,False,False,,-1.7852654554555563,-1.3328679771930136,-0.6928943072503144,-0.7155984532244044,-0.8658399451324107,2.7643889832351016,-4.693577351626182,-3.5479748698627835,-7.861576024729689,-6.671993922330907
2022-01-28,CVX,TPL,Earnings,0.2285149114928296,0.01290495914698353,0.11,0.0,0.0,0.041887752029299494,-5.999485389408663,0.0,long,False,False,True,below threshold,,,,,,,,,,
2022-02-01,XOM,PAGP,Earnings,0.44794508627386764,0.500554597145704,0.3,0.01279494549797865,0.0038384836493935946,0.01186573073130039,0.07262358146230931,-2.0912547284589693,short,True,False,False,,1.635615868279446,-2.0912547284589693,-0.8487415064344652,-2.3219292484288165,-4.077001047958968,-9.647054728963838,-13.991424855063915,-10.012392319326702,-6.641080607285387,9.816995697038312
2022-02-01,XOM,IMO,Earnings,0.8380424547268137,0.5570651527323129,0.2994,0.023937549181343408,0.007166902224894216,-0.0022662646254934526,1.0946740457147446,1.3162125775375573,long,True,False,False,,0.3519302843006713,1.3162125775375573,0.27428173588500987,-1.3188870618096047,-1.8289183626361203,-0.6177065460546424,-2.3034154031051277,-1.149652648073018,-0.8103457191378035,-4.163775913416342
2022-02-01,XOM,PUMP,Earnings,1.2824106703664246,0.5406980543722328,0.249,0.036630326207737006,0.009120951225726514,-0.00065582611931813,1.0179039115185278,1.071903259110553,long,True,False,False,,0.2720408321525309,1.071903259110553,0.1306479716497233,-0.5624991296307952,-3.173253763147049,-0.5667250090458446,0.40511646556692266,1.065849330735106,-0.28083714434980994,-14.584457673903971
2022-02-01,XOM,PVL,Earnings,2.844544105292081,0.6993898748720313,0.23,0.08125055483152843,0.01868762761125154,-0.0034532496834462183,1.042501244337426,1.184788018858374,long,True,True,False,,1.9499151762867577,1.184788018858374,0.9290442442265799,1.0523055975145652,1.47797577998005,1.8535642563747767,1.5561973452821742,2.5350612726747146,1.4060547415812896,0.36283863916619064
2022-02-03,COP,ARIS,Earnings,1.0,0.0,0.2167,-0.01162327378754249,-0.0025187634297604575,0.03025811144418979,-3.6032348542473134,-13.013081930075282,long,True,False,False,,-10.610451275951208,-13.013081930075282,-13.507567027535165,-14.136790634286479,-4.233010817546229,-2.799018303021667,6.833596102237661,1.0871389840269128,-2.6286095212386154,-27.127095349540888
2022-02-03,COP,CRGY,Earnings,1.0,0.0,0.135,-0.01162327378754249,-0.0015691419613182362,-0.016078261487972638,0.38328166245252554,9.24653083298167,short,True,False,False,,1.3509124665854744,9.24653083298167,13.93149814681968,6.9199720992438465,0.3347227372555517,-20.274200517318786,6.320386650966376,9.447025961275843,-6.407910464241411,-36.0264021889513
